num|uid|filepath|filename|line-start|line-end|name|parameters|returns|description
41|ZDEV_FUNC_904E324B|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|213|229|ZDEV.DBUG.RandomHitBoxPos|ent||
42|ZDEV_FUNC_2B7AD064|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|232|309|ZDEV.DBUG.GetBones|ent, index||
43|ZDEV_FUNC_86F3D99C|lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|260|309|ZDEV.DBUG.FreezeBones|ent, type, amount, scale, time||
44||lua/autorun/zd_autorun_debug.lua|zd_autorun_debug.lua|296|300|ZDEV.DBUG.SetModelScale|ent, scale, deltatime||
45|ZDEV_FUNC_426DAFF8|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|25|30|ZDEV.UTIL.VectorizeString|str||
46|ZDEV_FUNC_DC482759|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|33|38|ZDEV.UTIL.AngleizeString|str||
47|ZDEV_FUNC_B113D67A|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|41|47|ZDEV.UTIL.ColorizeString|str||
48||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|53|59|GetTextSize|x||------------------------------]]--
49||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|65|72|PrintType|x||
50||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|78|1294|FixTabs|x, width||
51||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|158|168|DebugFixToStringColored|obj, iscom||
52||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|170|1294|DebugFixToString|obj, iscom||
53||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|185|1294|DebugPrintTable|tbl, spaces, done||
54||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|272|276|CharToHexa|c||Converts an ASCII character in to a Hexa Character
55||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|281|285|HexaToChar|h||Converts a Hexa character in to an ASCII character
56||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|291|295|Is7BitString|str||Returns true if the string can be represented in 7-Bit ASCII Null bytes are not allowed as they are used for termination
57||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|300|304|IsHexaString|str||Returns true if the string can be represented in Hexa
58||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|309|311|IsNaN|x||Returns true if the argument is NaN ( can also be interpreted as 0/0 )
59||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|322|325|IndexSafe|x||This exists because you can't make a table index NaN We need to do this so we can cache it in our references table
60||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|335|383|SendType|x||Gets the type of way we are going to send the data Not all of these exist in reality We are only going to add 16 types ( 0-15 ) since that's the max we can fit into 4 bits
61||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|429|431|TypeToString|n||
62||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|433|435|StringToType|s||
63||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|633|1294|array_len|x||We need this since #table returns undefined values by the lua spec if it doesn't have incremental keys we use pairs since it's backwards compatible
64|ZDEV_FUNC_51C15DA0|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|900|1294|ZDEV.UTIL.GenerateUID|len||
65|ZDEV_FUNC_A885DCD4|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|917|1294|ZDEV.UTIL.PrintFuncParam|func, lvl, count||
66|ZDEV_FUNC_BA2C9B40|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|944|960|ZDEV.UTIL.DumpEntityMeta|ent||
67|ZDEV_FUNC_DF56C450|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|970|974|ZDEV.UTIL.GetTraceEnt|ply||
68|ZDEV_FUNC_FC0F4855|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|977|983|ZDEV.UTIL.DropPrimaryWeapon|ply||
69|ZDEV_FUNC_7D4B2DA5|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|988|990|ZDEV.UTIL.DataFileExists|s_file||
70|ZDEV_FUNC_BDB6F026|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|993|1294|ZDEV.UTIL.AnalyzeTable|tbl||
71|ZDEV_FUNC_C775AAEF|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1010|1294|ZDEV.DATA.ExportToJSON|t_data, s_filename||
72|ZDEV_FUNC_C3E93CC0|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1029|1294|ZDEV.UTIL.ReIterateTable|tbl||
73||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1063|1065|META:__index|key||
74||lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1067|1087|META:__newindex|key, value||
75|ZDEV_FUNC_553B7A53|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1094|1099|ZDEV.UTIL.ReceiveSliderVar|umr||
76|ZDEV_FUNC_553B7A53|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1106|1113|ZDEV.UTIL.ReceiveSliderVar|ply, _, args||
77|ZDEV_FUNC_8399ED7A|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1123|1294|ZDEV.UTIL.ArgsToString|...||
78|ZDEV_FUNC_0A3E59B1|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1143|1294|ZDEV.UTIL.GarbageCollect|||
79|ZDEV_FUNC_D0D3D1A1|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1152|1165|ZDEV.UTIL.Print|id, pos, ...||
80|ZDEV_FUNC_7FB6B668|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1172|1294|ZDEV.UTIL.HUDPaint|||[[
81|ZDEV_FUNC_3CB36C46|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1206|1220|ZDEV.UTIL.ReceiveServerMessage|umr||
82|ZDEV_FUNC_D0D3D1A1|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1226|1245|ZDEV.UTIL.Print|id, pos, ...||
83|ZDEV_FUNC_47EFF7B2|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1249|1255|ZDEV.UTIL.DirectionFromTo|v0, v1||
84|ZDEV_FUNC_8060B92F|lua/autorun/zd_autorun_util.lua|zd_autorun_util.lua|1259|1285|ZDEV.UTIL.NoCollideWorld|ply||
85||lua/effects/zdev_fx_attachment_laser.lua|zdev_fx_attachment_laser.lua|17|35|EFFECT:Init|data||
86||lua/effects/zdev_fx_attachment_laser.lua|zdev_fx_attachment_laser.lua|37|54|EFFECT:Think|||
87||lua/effects/zdev_fx_attachment_laser.lua|zdev_fx_attachment_laser.lua|56|70|EFFECT:Render|||
88||lua/effects/zdev_fx_tracer_laser.lua|zdev_fx_tracer_laser.lua|16|135|EFFECT:Init|data||
89||lua/effects/zdev_fx_tracer_laser.lua|zdev_fx_tracer_laser.lua|79|96|EFFECT:Think|||
90||lua/effects/zdev_fx_tracer_laser.lua|zdev_fx_tracer_laser.lua|98|135|EFFECT:Render|||
91||lua/entities/ent_frag_grenade_proj.lua|ent_frag_grenade_proj.lua|34|36|ENT:SetupDataTables|||
92||lua/entities/ent_frag_grenade_proj.lua|ent_frag_grenade_proj.lua|42|63|ENT:Initialize|||
93||lua/entities/ent_frag_grenade_proj.lua|ent_frag_grenade_proj.lua|69|77|ENT:Think|||
94||lua/entities/ent_frag_grenade_proj.lua|ent_frag_grenade_proj.lua|83|95|ENT:PhysicsCollide|colData, collider||
95||lua/entities/ent_frag_grenade_proj.lua|ent_frag_grenade_proj.lua|101|142|ENT:Detonate|||
96||lua/entities/ent_frag_grenade_proj.lua|ent_frag_grenade_proj.lua|148|152|ENT:OnTakeDamage|dmginfo||
97||lua/entities/ent_frag_grenade_proj.lua|ent_frag_grenade_proj.lua|158|182|ENT:Draw|||
98||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|32|47|ENT:Initialize|||============================================================================ CLIENT-SIDE INITIALIZATION ============================================================================
99||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|50|65|ENT:SetupTrail|||Set up trail effect
100||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|70|78|ENT:Draw|flags||============================================================================ RENDERING ============================================================================
101||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|80|85|ENT:DrawTranslucent|flags||
102||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|88|103|ENT:DrawGlow|||Draw glow sprite effect
103||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|108|205|ENT:Think|||============================================================================ CLIENT THINK ============================================================================
104||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|142|155|ENT:BeingLookedAtByLocalPlayer|||Check if local player is looking at this entity
105||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|158|197|ENT:DrawWorldHUD|||Draw world HUD info when looking at entity
106||lua/entities/zdev_ent_base_projectile/cl_init.lua|cl_init.lua|202|205|ENT:OnRemove|||============================================================================ CLEANUP ============================================================================
107||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|29|72|ENT:Initialize|||============================================================================ SERVER-SIDE INITIALIZATION ============================================================================
108||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|82|141|ENT:SetupPhysics|||Configure physics based on projectile type @note Based on PhysObj wiki: https:--wiki.facepunch.com/gmod/PhysObj - SetDragCoefficient: controls air resistance (valid) - SetDamping: controls linear/angular velocity decay (valid) - SetMass: sets mass in kg (valid) - EnableGravity: only enables/disables, cannot set custom gravity vector - Elasticity: use Entity:SetElasticity(), NOT PhysObj method - Friction: controlled via PhysObj:SetMaterial() surface properties
109||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|146|159|ENT:SpawnFunction|ply, tr, ClassName||============================================================================ SPAWN FUNCTION ============================================================================
110||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|169|205|ENT:Throw|thrower, velocity, angVelocity||Throw the projectile with the given velocity
111||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|215|260|ENT:Think|||
112||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|263|286|ENT:UpdateEnergyMovement|||Update position for energy-type projectiles
113||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|291|347|ENT:PhysicsCollide|colData, collider||============================================================================ PHYSICS COLLISION HANDLING ============================================================================
114||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|352|369|ENT:OnTakeDamage|dmginfo||============================================================================ DAMAGE HANDLING ============================================================================
115||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|378|414|ENT:Deploy|hitPos, hitNormal||Deploy the entity (make it static on a surface)
116||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|424|465|ENT:AttachTo|target, hitPos, hitNormal||Attach the entity to another entity
117||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|468|486|ENT:Detach|||Detach from parent entity
118||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|493|509|ENT:Arm|||Arm the projectile (start activation countdown)
119||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|512|517|ENT:RemoteActivate|||Trigger remote activation (for ZDEV_TRIGGER_REMOTE type)
120||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|520|550|ENT:Activate|||Main activation handler - triggers the entity's effect
121||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|553|555|ENT:OnDeactivate|||Called when active duration expires
122||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|562|680|ENT:Explode|||Handle explosion
123||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|630|644|ENT:OnDestroyed|attacker, inflictor||Called when entity is destroyed by damage
124||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|647|653|ENT:OnRemove|||Cleanup on removal
125||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|658|673|ENT:AcceptInput|inputName, activator, caller, param||============================================================================ INPUT HANDLING (for Hammer I/O) ============================================================================
126||lua/entities/zdev_ent_base_projectile/init.lua|init.lua|678|680|ENT:UpdateTransmitState|||============================================================================ TRANSMIT STATE ============================================================================
127||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|127|145|ENT:SetupDataTables|||============================================================================ NETWORKED DATA TABLES ============================================================================
128||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|161|403|ENT:CanAttachToClass|entClass|boolean True if the entity can be attached to|Check if an entity class matches our attachable list (supports wildcards)
129||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|183|197|ENT:ShouldActivate||boolean True if activation conditions are met|Check if this projectile should activate based on its trigger type
130||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|201|403|ENT:CheckProximityTrigger||boolean True if a valid target is in range|Check if any valid targets are within proximity radius
131||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|229|231|ENT:GetEffectiveProjectileType||number The projectile type enum value|Get the effective projectile type
132||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|235|237|ENT:GetEffectiveActivationTrigger||number The activation trigger enum value|Get the effective activation trigger type
133||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|241|244|ENT:GetTimeUntilActivation||number Seconds until activation (0 if already activated or not armed)|Calculate remaining time until activation
134||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|248|254|ENT:HasAttachExpired||boolean True if should detach|Check if this projectile has expired its attach duration
135||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|261|266|ENT:PhysgunPickup|ply||Prevent physics gun manipulation when deployed/attached
136||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|269|274|ENT:GravGunPickupAllowed|ply||Prevent gravity gun pickup when armed
137||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|277|282|ENT:GravGunPunt|ply||Prevent gravity gun punt when deployed
138||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|285|290|ENT:CanTool|ply, tr, toolname, tool, button||Restrict tool usage on active projectiles
139||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|307|309|ENT:OnThrow|thrower, velocity||
140||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|320|322|ENT:OnDeploy|hitPos, hitNormal||
141||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|334|336|ENT:OnAttach|target, hitPos, hitNormal||
142||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|346|348|ENT:OnDetach|previousParent||
143||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|356|358|ENT:OnArm|||
144||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|370|372|ENT:OnActivate|||
145||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|387|389|ENT:OnImpact|hitEntity, colData||
146||lua/entities/zdev_ent_base_projectile/shared.lua|shared.lua|401|403|ENT:OnExplode|pos, radius, damage||
147||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|61|68|ENT:SetupDataTables|||============================================================================ NETWORKED DATA TABLES ===========================================	=================================
148||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|83|95|ENT:Initialize|||
149||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|97|122|ENT:OnActivate|||
150||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|124|213|ENT:ApplyFlashEffect|||
151||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|142|211|ENT:FlashTarget|target, flashPos||
152||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|281|293|ENT:Initialize|||
153||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|295|300|ENT:Draw|||
154||lua/entities/zdev_ent_grenade_emp.lua|zdev_ent_grenade_emp.lua|302|325|ENT:DrawArmedIndicator|||
155||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|61|68|ENT:SetupDataTables|||============================================================================ NETWORKED DATA TABLES ===========================================	=================================
156||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|83|95|ENT:Initialize|||
157||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|97|122|ENT:OnActivate|||
158||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|124|213|ENT:ApplyFlashEffect|||
159||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|142|211|ENT:FlashTarget|target, flashPos||
160||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|281|293|ENT:Initialize|||
161||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|295|300|ENT:Draw|||
162||lua/entities/zdev_ent_grenade_flashbang.lua|zdev_ent_grenade_flashbang.lua|302|325|ENT:DrawArmedIndicator|||
163||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|61|68|ENT:SetupDataTables|||============================================================================ NETWORKED DATA TABLES ===========================================	=================================
164||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|83|95|ENT:Initialize|||
165||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|97|122|ENT:OnActivate|||
166||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|124|213|ENT:ApplyFlashEffect|||
167||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|142|211|ENT:FlashTarget|target, flashPos||
168||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|281|293|ENT:Initialize|||
169||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|295|300|ENT:Draw|||
170||lua/entities/zdev_ent_grenade_he.lua|zdev_ent_grenade_he.lua|302|325|ENT:DrawArmedIndicator|||
171||lua/entities/zdev_nextbot.lua|zdev_nextbot.lua|6|13|ENT:Initialize|||
172||lua/entities/zdev_nextbot.lua|zdev_nextbot.lua|19|21|ENT:SetEnemy|ent||ENT:Get/SetEnemy() Simple functions used in keeping our enemy saved
173||lua/entities/zdev_nextbot.lua|zdev_nextbot.lua|22|24|ENT:GetEnemy|||
174||lua/entities/zdev_nextbot.lua|zdev_nextbot.lua|30|48|ENT:HaveEnemy|||ENT:HaveEnemy() Returns true if we have a enemy
175||lua/entities/zdev_nextbot.lua|zdev_nextbot.lua|54|154|ENT:FindEnemy|||ENT:FindEnemy() Returns true and sets our enemy if we find one
176||lua/entities/zdev_nextbot.lua|zdev_nextbot.lua|76|154|ENT:RunBehaviour|||ENT:RunBehaviour() This is where the meat of our AI is
177||lua/entities/zdev_nextbot.lua|zdev_nextbot.lua|118|154|ENT:ChaseEnemy|options||ENT:ChaseEnemy() Works similarly to Garry's MoveToPos function except it will constantly follow the position of the enemy until there no longer is one.
178||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|30|44|ENT:SetupDataTables|||
179||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|46|71|ENT:Initialize|||
180||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|74|86|ENT:Use|activator, caller||
181||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|88|113|ENT:StartHacking|player||
182||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|115|140|ENT:StopHacking|success||
183||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|142|213|ENT:AlertNearbyPlayers|hacker||
184||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|160|199|ENT:Think|||
185||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|201|204|ENT:OnTakeDamage|dmg||
186||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|207|212|ENT:Reset|||Reset terminal (for gamemodes)
187||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|216|268|ENT:Draw|||
188||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|270|352|ENT:DrawInterface|||
189||lua/entities/zdev_objective_terminal.lua|zdev_objective_terminal.lua|354|366|ENT:Think|||
190||lua/entities/zdev_projectile_base_grenade/cl_init.lua|cl_init.lua|32|43|ENT:Initialize|||============================================================================ CLIENT-SIDE INITIALIZATION ============================================================================
191||lua/entities/zdev_projectile_base_grenade/cl_init.lua|cl_init.lua|48|56|ENT:Draw|flags||============================================================================ RENDERING ============================================================================
192||lua/entities/zdev_projectile_base_grenade/cl_init.lua|cl_init.lua|59|81|ENT:DrawArmedIndicator|||Draw blinking red light when armed
193||lua/entities/zdev_projectile_base_grenade/cl_init.lua|cl_init.lua|86|92|ENT:Think|||============================================================================ CLIENT THINK ============================================================================
194||lua/entities/zdev_projectile_base_grenade/cl_init.lua|cl_init.lua|99|135|ENT:DrawWorldHUD|||Draw world HUD info when looking at grenade
195||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|26|44|ENT:Initialize|||============================================================================ SERVER-SIDE INITIALIZATION ============================================================================
196||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|51|67|ENT:OnThrow|thrower, velocity||Called when the grenade is thrown
197||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|70|85|ENT:OnArm|||Called when the grenade is armed
198||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|88|107|ENT:OnImpact|hitEntity, colData||Called when the grenade impacts something
199||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|110|122|ENT:OnActivate|||Called just before explosion
200||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|131|160|ENT:Think|||
201||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|163|182|ENT:UpdateBeeping|||Update beeping sound with accelerating frequency
202||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|190|195|ENT:SetFuseTime|fuseTime||Set a custom fuse time (for cooking)
203||lua/entities/zdev_projectile_base_grenade/init.lua|init.lua|199|201|ENT:GetFuseTime||number Seconds until explosion|Get remaining fuse time
204||lua/entities/zdev_projectile_base_grenade/shared.lua|shared.lua|79|85|ENT:SetupDataTables|||============================================================================ NETWORKED DATA TABLES ============================================================================
